id;jhi_type_hun;jhi_type_eng
1;Azerbajdzsán;Azerbaijani
2;Amerikai;American;
3;Angol;English
4;Arab;Arabic
5;Argentin;Argentine
6;Ázsiai;Asian
7;Balkán;Balcanic
8;Bangladesi;Bangladesh
9;Belga;Belgian
10;Bár;Bar
11;Cseh;Czech
12;Erdélyi;Transylvanian
13;Európai;European
14;Francia;French
15;Görög;Greek
16;Grill;Grilled
17;Grúz;Georgian
18;Indiai;Indian
19;Ír;Irish
20;Japán;Japan
21;Kínai;Chinese
22;Kontinentális;Continental
23;Koreai;Korean
24;Kóser;Kosher
25;Közép Keleti;Middle-East
26;Kubai;Cuban
27;Latino Amerikai;Latin American
28;Libanoni;Lebanese
29;Magyar;Hungarian
30;Mediterrán;Mediterranean
31;Mexikói;Mexican
32;Német;German
33;Nemzetközi;International
34;Olasz;Italian
35;Orosz;Russian
36;Osztrák;Austrian
37;Pakisztáni;Pakistani
38;Perzsa;Persian
39;Pékség;Bakery
40;Reggeli & brunch;Breakfast & Brunch
41;Skót;Scottish
42;Steakhouse;Steakhouse
43;Spanyol;Spanish
44;Szerb;Serbian
45;Szlovák;Slovakian
46;Tengeri;Seafood
47;Thai;Thai
48;Vietnami;Vietnamese
49;Zsidó;Jewish
