id;name;street_address;postal_code;info;email;phone;website;facebook;google_place_id;city_id;user_id;picture_id
1;Riso Ristorante & Terrace;Lovas út 41;1012;Küldetésünk, hogy minél magasabb színvonalú, barátságos kiszolgálás mellett, kiváló minőségű ételeket, jó borokat fogyasszanak vendégeink egy páratlan hangulatú mediterrán környezetben. Szeretnénk egy olyan barátságos családias éttermet létrehozni, ahol nem csak a külföldi turisták, hanem a hazai vendégeink is jól érezhetik magukat. Barátságos és összetartó csapatunk igyekszik mindenben az önök kényelmét, kívánságait szolgálni.;infantry0516@gmail.com;0665435336;http://riso.hu/;https://www.facebook.com/riso.hu/;ChIJM3Y5yh_cQUcRi-2chMnfGVw;1;3;1
2;à Table!;Retek utca 6.;1024;Az Á table Boulangerie-patisserie 2013 szeptembere óta várja kedves vendégeit főként francia ételkülönlegességekkel a Mammut II. Bevásárlóközpont 3. emeletén.;infantry0516@gmail.com;06201234567;http://www.atable.hu;https://www.facebook.com/atableboulangeriepatisserie/;;1;4;2
3;Babuska;Katona József utca 24.;1137;"Az orosz otthon ízei" mellett időnként a Szovjet utódállamok ételeivel is kedveskedünk vendégeinknek.;infantry0516@gmail.com;06201234567;http://www.babuskafood.hu;https://www.facebook.com/BabuskaFood/;;1;4;3
4;Bock Bisztró;Erzsébet körút 43-49.;1073;Alapelveink: Minőségi termékeket kell megfelelő áron előállítani, stílusosan és kedéllyel felszolgálni, reális áron! Üdvözli Önöket corporate chefünk: Bíró Lajos, executive chefünk: Varju Viktor és konyhafőnökünk: Ludányi József;infantry0516@gmail.com;06201234567;https://bockbisztropest.hu/;https://www.facebook.com/bockbisztro;;1;4;4
5;Hanoi Pho;Akadémia utca 11.;1055;2013. december 08-án nyitotta meg kapuját az éttermünk, amely teljesen át lett formálva egy elegáns vietnámi étteremmé. Étlapunkat szezonálisan változtatjuk, de mindig megtalálhatók rajta a vietnámi konyha klasszikusai és séfünk saját kreációi is.;infantry0516@gmail.com;06204235689;http://http://www.hanoipho.hu/;https://www.facebook.com/hanoiphoetterem;;1;4;5
6;Pizzica;Nagymező utca 21.;1065;Szeretettel várjuk az igazi olasz recept alapján készült pizza szerelmeseit. Gyermekek, felnőttek, kis- és nagycsoportok egyaránt garantáltan megtalálják kedvencüket.;infantry0516@gmail.com;06201235879;https://www.facebook.com/pizzicapizza/;https://www.facebook.com/pizzicapizza/;;1;4;6
7;Prime Steakhouse;Sas utca 18.;1051;Az igazi steak kedvelőknek a Prime Steakhouse maga a steak mennyország. Az étterem mindössze egy saroknyira található a Szent István Bazilikától a belváros szívében. Étlapunkon az olyan klasszikus steakhouse fogások mellett, mint a francia hagymaleves, cézár saláta, vagy a grillezett királyrák, a külföldi vendégek körében népszerű magyar ételek is megtalálhatóak.;infantry0516@gmail.com;06302584758;http://http://www.primerestaurant.hu/;https://www.facebook.com/Primesteakhousebudapest/;;1;4;7
8;Ramenka;Kazinczy utca 9.;1075;The best Ramen in Budapest!;infantry0516@gmail.com;06702586952;https://www.facebook.com/ramenka.official;https://www.facebook.com/ramenka.official;;1;4;8
9;Spíler;Király utca 13.;1075;A Spíler a belváros egyik kedvenc bisztrója, bárja, szórakozóhelye: minőségi street food, laza környezet, vagány emberek, a legizgalmasabb magyar kézműves sörök, válogatott borok, hatalmas bárpult, télen fedett terasz és hétvégente angolszász elektronikus zenét pörgető rezidens DJ. Reggelire, ebédre, vacsorára, bulira és laza beszélgetésekre is minden nap reggel 8-tól hajnali 2-ig, a belváros szívében, a Gozsdu negyedben. ;infantry0516@gmail.com;0615478596;http://www.spilerbp.hu;www.spilerbp.hu;;1;4;9
10;Sarki Fűszeres;Pozsonyi út 53-55.;1137;A Sarki Fűszeres nem csupán egy békebeli hangulatot sugárzó vegyesbolt, az üzlet részeként egy kis kávézó, bisztró is üzemel. Helyben fogyaszthatnak – az egyébként megvásárlásra kínált - termékekből készült friss szendvicseket, salátákat. Készítenek sajt és sonkaízelítőket, a magyar és a külföldi ízeket felvonultató tálakat. Remek olasz Carraro kávét készítenek. Frissítőként házi szörpöket, frissen facsart narancsot és limonádét kínálnak. A közvetlenül az utcára is nyitott kiszolgálópultnál a sietős vendégek kedvéért elvitelre is készítenek kávét, szendvicseket. ;infantry0516@gmail.com;06202569845;https://www.instagram.com/sarkifuszeres/;https://www.facebook.com/sarkifuszeres;;1;4;10
11;Soul Food;Kazinczy utca 32.;1075;Háziasan elkészített, megfizethető friss egzotikus kaják. Fűszeres, izgalmas egytál-étel, leves, hamburger, frissen sült bordák, csirkeszárny, desszert jó áron. Gyorsétterem a belvárosban, a romkocsmák utcájában, a Kazinczy 32-ben, a Zsinagóga és az ELTE épületével szemben.;infantry0516@gmail.com;06302145698;http://www.soulfood.hu/;https://www.facebook.com/soulfoodbp;;1;4;11
12;Vendéglő a KisBíróhoz;Szarvas Gábor út 8.;1125;egy vendéglő / egy identitás, ahol a hagyomány, a tradíció találkozik az eleganciával, a modernitással és minőséggel. előre mutat újításaiban. Stílusában beleillik a kisvendéglők világába, hangulatába. Kifinomultság és karakteresség jellemzi. A groteszk, a modern , a letisztult, az elvont kombinációja a vidéki stílussal szimultán jelenik meg. Egy igazi fricska....;infantry0516@gmail.com;06125478523;https://vendegloakisbirohoz.hu/;https://www.facebook.com/vendegloakisbirohoz;;1;4;12
13;Caviar & Bull;Erzsébet körút 43-49.;1073;A Corinthia Hotel Budapest szomszédságában található Caviar & Bull Budapest egyedülálló étkezési koncepciót igyekszik bemutatni minden vendége számára. Gazdag tapasztalattal és iparági ismeretre támaszkodva, Marvin Gauci séf és csapata az étterem irányvonalának megteremtésén és új színvonal felépítésén fáradozik, ebben a nyüzsgő bohém fővárosban egyik remek ételről haladva a másik felé. A Caviar & Bull Budapest már nyitva, hogy a vendégek átadhassák magukat a hihetetlen étkezési élményének.;infantry0516@gmail.com;06201236547;http://www.http://caviarandbull.com/budapest/;https://www.facebook.com/caviarandbullbudapest;;1;4;13
14;Baraka;Dorottya utca 6.;1051;Francia-Ázsiai gourmet konyha mely megcélozza az ételeket kedvelőket a világ minden tájáról. Kreatív, képzelőerővel rendelkező és zamatos tálakat szolgálunk fel elegáns környezetben nagyon kedves szolgáltatással. Kitűnő magyar és nemzetközi borokkal. Koktélok és bár ételek ázsiai felütéssel elérhetőek a kellemes bárban. ;infantry0516@gmail.com;0612265896;http://www.http://barakarestaurant.hu/;https://www.facebook.com/barakabudapest/;;1;4;14
15;Mandragóra;Kacsa utca 22.;1027;A kávéház kezdetben klubszerűen működő helyből modern felfogású, bisztró jellegű étteremmé alakultunk át, úgy hogy közben a vezetés megtartotta azt a közvetlen, barátságos hangulatot, ami különlegessé teszi a mai világban. Az étterem célja, hogy aki egyszer betér, olyan vendéglátásban részesüljön, amely minden szempontból lenyűgözi és legközelebb már törzsvendégként köszönthessék.;infantry0516@gmail.com;06202136547;http://www.mandragorakavehaz.hu;https://www.facebook.com/mandragorakavehaz/;;1;4;15
16;Déryné Bisztró;Krisztina tér 3.;1013;Történelmi Bisztró az Auguszt család tulajdonában 1914 óta, melyet Aguszt József később a híres Déryné Kávéházként működtette 1951-től. Az étterem villásreggelit, kávékülönlegességeket és friss házi süteményekkel szolgálja vendégeit. Klasszikus rövid bisztró étlappal egyszerű helyi és francia közkedvelt ételekkel. Helyben készített kenyerek és sütemények választékát kínálják elvitelre is a helyi sütödéből. A konyha büszkélkedhet a 2014 Michelin Guide megjelenéssel, valamint a Bib Gourmand kvalifikálással.;infantry0516@gmail.com;0612541254;http://www.http://bistroderyne.com/;https://www.facebook.com/derynebisztro/;;1;4;16
17;Calypso Étterem;Városház tér 7.;3530;A CALYPSO Étterem Miskolc belvárosának szívében, egy múlt századi, műemlék jellegű épületben található. A 25 éve családi vállalkozásként üzemelő, otthonos hangulatú étterem 40 férőhelyes belső helyiségével, 40 fős szezonális teraszával, 50 személyes különtermével, valamint 20 fős új, exkluzív rendezvénytermével várja régi és új vendégeit.;infantry0516@gmail.com;06201234661;http://calypsomiskolc.hu/;https://www.facebook.com/pages/Calypso-Kisvend%C3%A9gl%C5%91/414291815251806;;4;4;17
18;Malom Étterem;Kossuth Lajos utca 8.;3525;Miskolc városának vidéki étterme. Őstermelői beszállítók, kézműves alapanyagok, mindig változó vacsora étlap és ebéd ajánlatok. Az étterem romantikus kerthelysége a város közepén kínál vidéki romantikát, külön italtermük pedig baráti társaságok, rendezvények számára is bérelhető.;infantry0516@gmail.com;06702154578;http://www.malometteremmiskolc.hu/;https://www.facebook.com/pg/malometteremmiskolc/;;4;4;18
19;Fald Fel Amerikát;Széchenyi István út 11.;3530;Ha a hamburger szerinted is szent étel, nem holmi gyorskaja, sőt, lehet akár laktató csúcsgasztronómia is, akkor jó helyen jársz! A miskolci Fald Fel Amerikát az ismert franchise részeként hódít több kiszerelésben kapható, kézműves hamburgereivel, illetve szintén hatalmas frissensültjeivel, táljaival és szendvicseivel. A burgerek között akadnak igazi kihívások is, mint amelyikben 5db hamburgerhús és 5 szelet cheddar sajt található a zöldségek mellett. Ne aggódj, ha nem tudsz ennyit enni, kapható pita, leves, saláta, előétel és hot-dog is, nem beszélve az amerikai desszertkülönlegességekről. Miskolciként is tegyél eleget a felszólításnak: fald fel Amerikát!;infantry0516@gmail.com;06202123658;http://fald-fel-amerikat.hu/;https://www.facebook.com/pg/FaldfelAmerikatMiskolc/;;4;4;19
20;Troja;Kölcsey utca 4.;6720;TRÓJA Ételbár és Kávézó Szeged városában. Vegyen részt a közép keleti étel élményében egy meleg környezetben.;infantry0516@gmail.com;06201475896;http://www.trojaszeged.hu/;https://www.facebook.com/pg/trojaszeged/;;5;4;20
21;Forza Italia;Kálvária súgárút 9-11.;6722;A Forza Italia Olasz Étterem És Pizzéria Szeged belvárosában, a Kálvária sugárúton várja vendégeit. A mediterrán hangulatú belső térben az olasz konyha remekeiből választhatnak, majd megkóstolhatják kiváló olasz borokat is. A pizzák fatüzeléses kemencében sülnek! Futárszolgálattal az ételeket házhoz is szállítja az étterem.;infantry0516@gmail.com;06302584789;http://pizzza.hu/pizza-rendeles/szeged/forzaitalia;https://www.facebook.com/pages/Forza-Italia-%C3%89tterem/122802011133093;;5;4;21
22;Nappali Bar;Király utca 23-25.;7621;Pécs megkerülhetetlen szívcsakrája. Pihenő-, találkozó- és szórakozóhely.;infantry0516@gmail.com;06302145687;https://www.facebook.com/pg/nappali.bar/;https://www.facebook.com/pg/nappali.bar/;;6;4;22
23;Cellárium;Hunyadi János utca 2;7621;Magyar étteremként a hagyományokat megőrizve, de új köntösben kínálja a tradicionális ételeket. Napi menüje mellett folyamatosan friss, szezonális alapanyagokból a séf ebéd- és vacsoraajnálata fogadja a minőségi gasztronómia kedvelőit.;infantry0516@gmail.com;06202586974;http://www.cellariumrestaurant.hu/;https://www.facebook.com/cellariumrestaurant;;6;4;23
24;Blöff Bisztró;Jókai tér 5;7621;Mediterrán, grillezett hal-, és húsételek. Hangulatos terasz. Látvány konyha. Változatos napi ajánlat. Nagy borválaszték a Pannon borrégióból.;infantry0516@gmail.com;06301475896;https://www.facebook.com/Bl%C3%B6ff-Bisztr%C3%B3-122505751420351/;https://www.facebook.com/Bl%C3%B6ff-Bisztr%C3%B3-122505751420351/;;6;4;24
25;Tettye Vendéglő;Tettye tér 4;7625;A Tettye Vendéglõ Pécsett a Mecsek déli oldalán található, festõi környezetben. Az étlap gazdag kínálatában a könnyû halak, a szárnyasok ropogós zöldségekkel, és bársonyos tejszínes mártásokkal épp úgy megtalálhatók, mint a markáns magyaros pörköltek, paprikások, nyársonsültek, vagy a sváb specialitások, mint a peisli, a toros leves, és a töltöttes.;infantry0516@gmail.com;0612587459;http://www.tettye.hu/;https://www.facebook.com/Tettye-Vend%C3%A9gl%C5%91-109012319178216/;;6;4;25
